segment_id,luigi,tano,fabio,federico,rachel,utsav,khwaja,joshua
A12-P10,,,,,,,,
A12-P10-S0,,,,,,,,
A13,,,,Neutral,,Neutral,Positive,Positive
A13-P0,,,,,,,,
A13-P0-S0,,,,,,,,
A13-P0-S1,,,,,,,,
A13-P1,,,,,,,,
A13-P1-S0,,,,,,,,
A13-P1-S1,,,,,,,,
A13-P1-S2,,,,,,,,
A13-P1-S3,,,,,,,,
A13-P1-S4,,,,,,,,
A13-P1-S5,,,,,,,,
A13-P2,,,,,,,,
A13-P2-S0,,,,,,,,
A13-P2-S1,,,,,,,,
A13-P2-S2,,,,,,,,
A13-P2-S3,,,,,,,,
A13-P3,,,,,,,,
A13-P3-S0,,,,,,,,
A13-P3-S1,,,,,,,,
A13-P3-S2,,,,,,,,
A13-P3-S3,,,,,,,,
A13-P4,,,,,,,,
A13-P4-S0,,,,,,,,
A13-P4-S1,,,,,,,,
A13-P4-S2,,,,,,,,
A13-P4-S3,,,,,,,,
A13-P4-S4,,,,,,,,
A13-P4-S5,,,,,,,,
A13-P5,,,,,,,,
A13-P5-S0,,,,,,,,
A13-P5-S1,,,,,,,,
A13-P5-S2,,,,,,,,
A13-P5-S3,,,,,,,,
A13-P6,,,,,,,,
A13-P6-S0,,,,,,,,
A13-P6-S1,,,,,,,,
A13-P6-S2,,,,,,,,
A13-P6-S3,,,,,,,,
A13-P6-S4,,,,,,,,
A13-P6-S5,,,,,,,,
A13-P7,,,,,,,,
A13-P7-S0,,,,,,,,
A13-P7-S1,,,,,,,,
A13-P7-S2,,,,,,,,
A13-P7-S3,,,,,,,,
A13-P7-S4,,,,,,,,
A13-P7-S5,,,,,,,,
A13-P8,,,,,,,,
A13-P8-S0,,,,,,,,
A13-P9,,,,,,,,
A13-P9-S0,,,,,,,,
A13-P9-S1,,,,,,,,
A13-P9-S2,,,,,,,,
A13-P9-S3,,,,,,,,
A13-P10,,,,,,,,
A13-P10-S0,,,,,,,,
A13-P10-S1,,,,,,,,
A13-P10-S2,,,,,,,,
A13-P11,,,,,,,,
A13-P11-S0,,,,,,,,
A13-P11-S1,,,,,,,,
A13-P11-S2,,,,,,,,
A13-P11-S3,,,,,,,,
A13-P11-S4,,,,,,,,
A13-P11-S5,,,,,,,,
A13-P12,,,,,,,,
A13-P12-S0,,,,,,,,
A13-P12-S1,,,,,,,,
A13-P12-S2,,,,,,,,
A13-P12-S3,,,,,,,,
A13-P12-S4,,,,,,,,
A13-P12-S5,,,,,,,,
A13-P12-S6,,,,,,,,
A13-P13,,,,,,,,
A13-P13-S0,,,,,,,,
A13-P13-S1,,,,,,,,
A13-P14,,,,,,,,
A13-P14-S0,,,,,,,,
A13-P14-S1,,,,,,,,
A13-P14-S2,,,,,,,,
A13-P15,,,,,,,,
A13-P15-S0,,,,,,,,
A13-P15-S1,,,,,,,,
A13-P15-S2,,,,,,,,
A13-P15-S3,,,,,,,,
A13-P15-S4,,,,,,,,
A13-P16,,,,,,,,
A13-P16-S0,,,,,,,,
A13-P17,,,,,,,,
A13-P17-S0,,,,,,,,
A13-P17-S1,,,,,,,,
A13-P17-S2,,,,,,,,
A13-P17-S3,,,,,,,,
A13-P17-S4,,,,,,,,
A13-P17-S5,,,,,,,,
A13-P17-S6,,,,,,,,
A13-P18,,,,,,,,
A13-P18-S0,,,,,,,,
A13-P18-S1,,,,,,,,
A13-P18-S2,,,,,,,,
A13-P18-S3,,,,,,,,
A13-P19,,,,,,,,
A13-P19-S0,,,,,,,,
A13-P19-S1,,,,,,,,
A13-P19-S2,,,,,,,,
A13-P19-S3,,,,,,,,
A13-P19-S4,,,,,,,,
A13-P20,,,,,,,,
A13-P20-S0,,,,,,,,
A13-P20-S1,,,,,,,,
A13-P20-S2,,,,,,,,
A13-P20-S3,,,,,,,,
A13-P21,,,,,,,,
A13-P21-S0,,,,,,,,
A13-P21-S1,,,,,,,,
A13-P21-S2,,,,,,,,
A13-P21-S3,,,,,,,,
A13-P21-S4,,,,,,,,
A13-P22,,,,,,,,
A13-P22-S0,,,,,,,,
A13-P22-S1,,,,,,,,
A13-P22-S2,,,,,,,,
A13-P22-S3,,,,,,,,
A13-P23,,,,,,,,
A13-P23-S0,,,,,,,,
A13-P23-S1,,,,,,,,
A13-P23-S2,,,,,,,,
A13-P23-S3,,,,,,,,
A13-P24,,,,,,,,
A13-P24-S0,,,,,,,,
A13-P24-S1,,,,,,,,
A13-P24-S2,,,,,,,,
A13-P25,,,,,,,,
A13-P25-S0,,,,,,,,
A13-P25-S1,,,,,,,,
A13-P25-S2,,,,,,,,
A13-P26,,,,,,,,
A13-P26-S0,,,,,,,,
A13-P26-S1,,,,,,,,
A13-P26-S2,,,,,,,,
A13-P26-S3,,,,,,,,
A13-P26-S4,,,,,,,,
A13-P27,,,,,,,,
A13-P27-S0,,,,,,,,
A13-P28,,,,,,,,
A13-P28-S0,,,,,,,,
A13-P28-S1,,,,,,,,
A13-P28-S2,,,,,,,,
A13-P28-S3,,,,,,,,
A13-P29,,,,,,,,
A13-P29-S0,,,,,,,,
A13-P29-S1,,,,,,,,
A13-P30,,,,,,,,
A13-P30-S0,,,,,,,,
A13-P30-S1,,,,,,,,
A13-P30-S2,,,,,,,,
A13-P30-S3,,,,,,,,
A13-P30-S4,,,,,,,,
A13-P30-S5,,,,,,,,
A13-P31,,,,,,,,
A13-P31-S0,,,,,,,,
A13-P31-S1,,,,,,,,
A13-P31-S2,,,,,,,,
A13-P31-S3,,,,,,,,
A13-P32,,,,,,,,
A13-P32-S0,,,,,,,,
A13-P32-S1,,,,,,,,
A13-P33,,,,,,,,
A13-P33-S0,,,,,,,,
A14,,,,Neutral,,Neutral,Neutral,Neutral
A14-P0,,,,,,,,
A14-P0-S0,,,,,,,,
A14-P1,,,,,,,,
A14-P1-S0,,,,,,,,
A14-P1-S1,,,,,,,,
A14-P2,,,,,,,,
A14-P2-S0,,,,,,,,
A14-P2-S1,,,,,,,,
A14-P2-S2,,,,,,,,
A14-P3,,,,,,,,
A14-P3-S0,,,,,,,,
A14-P3-S1,,,,,,,,
A14-P3-S2,,,,,,,,
A14-P3-S3,,,,,,,,
A14-P3-S4,,,,,,,,
A14-P3-S5,,,,,,,,
A14-P4,,,,,,,,
A14-P4-S0,,,,,,,,
A14-P4-S1,,,,,,,,
A14-P4-S2,,,,,,,,
A14-P5,,,,,,,,
A14-P5-S0,,,,,,,,
A14-P5-S1,,,,,,,,
A14-P5-S2,,,,,,,,
A14-P6,,,,,,,,
A14-P6-S0,,,,,,,,
A14-P6-S1,,,,,,,,
A14-P6-S2,,,,,,,,
A14-P7,,,,,,,,
A14-P7-S0,,,,,,,,
A14-P7-S1,,,,,,,,
A14-P7-S2,,,,,,,,
A14-P8,,,,,,,,
A14-P8-S0,,,,,,,,
A14-P8-S1,,,,,,,,
A14-P8-S2,,,,,,,,
A14-P9,,,,,,,,
A14-P9-S0,,,,,,,,
A14-P9-S1,,,,,,,,
A15,,,,Negative,,Negative,Very positive,Very positive
A15-P0,,,,,,,,
A15-P0-S0,,,,,,,,
A15-P1,,,,,,,,
A15-P1-S0,,,,,,,,
A15-P2,,,,,,,,
A15-P2-S0,,,,,,,,
A15-P3,,,,,,,,
A15-P3-S0,,,,,,,,
A15-P3-S1,,,,,,,,
A15-P3-S2,,,,,,,,
A15-P4,,,,,,,,
A15-P4-S0,,,,,,,,
A15-P4-S1,,,,,,,,
A15-P4-S2,,,,,,,,
A15-P5,,,,,,,,
A15-P5-S0,,,,,,,,
A15-P5-S1,,,,,,,,
A15-P5-S2,,,,,,,,
A15-P5-S3,,,,,,,,
A15-P6,,,,,,,,
A15-P6-S0,,,,,,,,
A15-P6-S1,,,,,,,,
A15-P6-S2,,,,,,,,
A15-P7,,,,,,,,
A15-P7-S0,,,,,,,,
A15-P7-S1,,,,,,,,
A15-P7-S2,,,,,,,,
A15-P8,,,,,,,,
A15-P8-S0,,,,,,,,
A15-P8-S1,,,,,,,,
A15-P9,,,,,,,,
A15-P9-S0,,,,,,,,
A15-P9-S1,,,,,,,,
A15-P9-S2,,,,,,,,
A15-P10,,,,,,,,
A15-P10-S0,,,,,,,,
A15-P11,,,,,,,,
A15-P11-S0,,,,,,,,
A15-P11-S1,,,,,,,,
A15-P12,,,,,,,,
A15-P12-S0,,,,,,,,
A15-P12-S1,,,,,,,,
A15-P12-S2,,,,,,,,
A15-P12-S3,,,,,,,,
A15-P12-S4,,,,,,,,
A15-P13,,,,,,,,
A15-P13-S0,,,,,,,,
A15-P13-S1,,,,,,,,
A15-P13-S2,,,,,,,,
A15-P13-S3,,,,,,,,
A15-P14,,,,,,,,
A15-P14-S0,,,,,,,,
A15-P14-S1,,,,,,,,
A15-P14-S2,,,,,,,,
A15-P14-S3,,,,,,,,
A15-P14-S4,,,,,,,,
A15-P15,,,,,,,,
A15-P15-S0,,,,,,,,
A15-P15-S1,,,,,,,,
A15-P15-S2,,,,,,,,
A15-P15-S3,,,,,,,,
A15-P15-S4,,,,,,,,
A15-P15-S5,,,,,,,,
A15-P16,,,,,,,,
A15-P16-S0,,,,,,,,
A15-P16-S1,,,,,,,,
A15-P16-S2,,,,,,,,
A15-P16-S3,,,,,,,,
A15-P16-S4,,,,,,,,
A15-P16-S5,,,,,,,,
A15-P17,,,,,,,,
A15-P17-S0,,,,,,,,
A15-P17-S1,,,,,,,,
A15-P17-S2,,,,,,,,
A15-P17-S3,,,,,,,,
A15-P17-S4,,,,,,,,
A15-P17-S5,,,,,,,,
A15-P18,,,,,,,,
A15-P18-S0,,,,,,,,
A15-P19,,,,,,,,
A15-P19-S0,,,,,,,,
A16,,,,Negative,,Negative,Negative,Positive
A16-P0,,,,,,,,
A16-P0-S0,,,,,,,,
A16-P1,,,,,,,,
A16-P1-S0,,,,,,,,
A16-P1-S1,,,,,,,,
A16-P1-S2,,,,,,,,
A16-P1-S3,,,,,,,,
A16-P1-S4,,,,,,,,
A16-P2,,,,,,,,
A16-P2-S0,,,,,,,,
A16-P2-S1,,,,,,,,
A16-P2-S2,,,,,,,,
A16-P2-S3,,,,,,,,
A16-P2-S4,,,,,,,,
A16-P3,,,,,,,,
A16-P3-S0,,,,,,,,
A16-P3-S1,,,,,,,,
A16-P3-S2,,,,,,,,
A16-P3-S3,,,,,,,,
A16-P3-S4,,,,,,,,
A16-P3-S5,,,,,,,,
A16-P4,,,,,,,,
A16-P4-S0,,,,,,,,
A16-P4-S1,,,,,,,,
A16-P4-S2,,,,,,,,
A16-P4-S3,,,,,,,,
A16-P4-S4,,,,,,,,
A16-P5,,,,,,,,
A16-P5-S0,,,,,,,,
A16-P5-S1,,,,,,,,
A16-P5-S2,,,,,,,,
A16-P5-S3,,,,,,,,
A16-P5-S4,,,,,,,,
A16-P5-S5,,,,,,,,
A16-P5-S6,,,,,,,,
A16-P5-S7,,,,,,,,
A16-P6,,,,,,,,
A16-P6-S0,,,,,,,,
A16-P6-S1,,,,,,,,
A16-P6-S2,,,,,,,,
A16-P6-S3,,,,,,,,
A16-P6-S4,,,,,,,,
A16-P7,,,,,,,,
A16-P7-S0,,,,,,,,
A16-P7-S1,,,,,,,,
A16-P7-S2,,,,,,,,
A16-P7-S3,,,,,,,,
A16-P7-S4,,,,,,,,
A16-P7-S5,,,,,,,,
A16-P7-S6,,,,,,,,
A16-P7-S7,,,,,,,,
A16-P7-S8,,,,,,,,
A16-P7-S9,,,,,,,,
A16-P8,,,,,,,,
A16-P8-S0,,,,,,,,
A16-P8-S1,,,,,,,,
A16-P8-S2,,,,,,,,
A16-P8-S3,,,,,,,,
A16-P8-S4,,,,,,,,
A16-P9,,,,,,,,
A16-P9-S0,,,,,,,,
A16-P9-S1,,,,,,,,
A16-P9-S2,,,,,,,,
A17,,,,Positive,,Neutral,Positive,Positive
A17-P0,,,,,,,,
A17-P0-S0,,,,,,,,
A17-P1,,,,,,,,
A17-P1-S0,,,,,,,,
A17-P1-S1,,,,,,,,
A17-P2,,,,,,,,
A17-P2-S0,,,,,,,,
A17-P2-S1,,,,,,,,
A17-P2-S2,,,,,,,,
A17-P2-S3,,,,,,,,
A17-P3,,,,,,,,
A17-P3-S0,,,,,,,,
A17-P4,,,,,,,,
A17-P4-S0,,,,,,,,
A17-P4-S1,,,,,,,,
A17-P4-S2,,,,,,,,
A17-P4-S3,,,,,,,,
A17-P4-S4,,,,,,,,
A17-P5,,,,,,,,
A17-P5-S0,,,,,,,,
A17-P5-S1,,,,,,,,
A17-P5-S2,,,,,,,,
A17-P5-S3,,,,,,,,
A17-P5-S4,,,,,,,,
A17-P6,,,,,,,,
A17-P6-S0,,,,,,,,
A17-P6-S1,,,,,,,,
A17-P6-S2,,,,,,,,
A17-P6-S3,,,,,,,,
A17-P6-S4,,,,,,,,
A17-P7,,,,,,,,
A17-P7-S0,,,,,,,,
A17-P7-S1,,,,,,,,
A17-P7-S2,,,,,,,,
A17-P7-S3,,,,,,,,
A17-P7-S4,,,,,,,,
A17-P7-S5,,,,,,,,
A17-P7-S6,,,,,,,,
A17-P8,,,,,,,,
A17-P8-S0,,,,,,,,
A17-P8-S1,,,,,,,,
A17-P8-S2,,,,,,,,
A17-P8-S3,,,,,,,,
A17-P8-S4,,,,,,,,
A17-P8-S5,,,,,,,,
A17-P8-S6,,,,,,,,
A17-P8-S7,,,,,,,,
A17-P9,,,,,,,,
A17-P9-S0,,,,,,,,
A17-P9-S1,,,,,,,,
A17-P9-S2,,,,,,,,
A17-P9-S3,,,,,,,,
A17-P10,,,,,,,,
A17-P10-S0,,,,,,,,
A17-P10-S1,,,,,,,,
A17-P10-S2,,,,,,,,
A17-P10-S3,,,,,,,,
A17-P10-S4,,,,,,,,
A17-P11,,,,,,,,
A17-P11-S0,,,,,,,,
A17-P11-S1,,,,,,,,
A17-P12,,,,,,,,
A17-P12-S0,,,,,,,,
A17-P13,,,,,,,,
A17-P13-S0,,,,,,,,
A17-P13-S1,,,,,,,,
A17-P13-S2,,,,,,,,
A17-P13-S3,,,,,,,,
A17-P13-S4,,,,,,,,
A17-P14,,,,,,,,
A17-P14-S0,,,,,,,,
A17-P14-S1,,,,,,,,
A17-P14-S2,,,,,,,,
A17-P14-S3,,,,,,,,
A17-P14-S4,,,,,,,,
A18,,,,Neutral,,Neutral,Neutral,Positive
A18-P0,,,,,,,,
A18-P0-S0,,,,,,,,
A18-P0-S1,,,,,,,,
A18-P1,,,,,,,,
A18-P1-S0,,,,,,,,
A18-P1-S1,,,,,,,,
A18-P1-S2,,,,,,,,
A18-P1-S3,,,,,,,,
A18-P1-S4,,,,,,,,
A18-P1-S5,,,,,,,,
A18-P2,,,,,,,,
A18-P2-S0,,,,,,,,
A18-P2-S1,,,,,,,,
A18-P2-S2,,,,,,,,
A18-P2-S3,,,,,,,,
A18-P2-S4,,,,,,,,
A18-P3,,,,,,,,
A18-P3-S0,,,,,,,,
A18-P3-S1,,,,,,,,
A18-P3-S2,,,,,,,,
A18-P3-S3,,,,,,,,
A18-P4,,,,,,,,
A18-P4-S0,,,,,,,,
A18-P4-S1,,,,,,,,
A18-P5,,,,,,,,
A18-P5-S0,,,,,,,,
A18-P5-S1,,,,,,,,
A18-P5-S2,,,,,,,,
A18-P5-S3,,,,,,,,
A18-P6,,,,,,,,
A18-P6-S0,,,,,,,,
A18-P6-S1,,,,,,,,
A18-P6-S2,,,,,,,,
A18-P6-S3,,,,,,,,
A18-P6-S4,,,,,,,,
A18-P6-S5,,,,,,,,
A18-P6-S6,,,,,,,,
A18-P7,,,,,,,,
A18-P7-S0,,,,,,,,
A18-P7-S1,,,,,,,,
A18-P7-S2,,,,,,,,
A18-P8,,,,,,,,
A18-P8-S0,,,,,,,,
A18-P8-S1,,,,,,,,
A18-P8-S2,,,,,,,,
A18-P8-S3,,,,,,,,
A18-P8-S4,,,,,,,,
A19,,,,Very negative,,Negative,Negative,Negative
A19-P0,,,,,,,,
A19-P0-S0,,,,,,,,
A19-P1,,,,,,,,
A19-P1-S0,,,,,,,,
A19-P2,,,,,,,,
A19-P2-S0,,,,,,,,
A19-P3,,,,,,,,
A19-P3-S0,,,,,,,,
A19-P3-S1,,,,,,,,
A19-P3-S2,,,,,,,,
A19-P3-S3,,,,,,,,
A19-P4,,,,,,,,
A19-P4-S0,,,,,,,,
A19-P4-S1,,,,,,,,
A19-P4-S2,,,,,,,,
A19-P4-S3,,,,,,,,
A19-P5,,,,,,,,
A19-P5-S0,,,,,,,,
A19-P5-S1,,,,,,,,
A19-P5-S2,,,,,,,,
A19-P5-S3,,,,,,,,
A19-P5-S4,,,,,,,,
A19-P5-S5,,,,,,,,
A19-P6,,,,,,,,
A19-P6-S0,,,,,,,,
A19-P6-S1,,,,,,,,
A19-P6-S2,,,,,,,,
A19-P7,,,,,,,,
A19-P7-S0,,,,,,,,
A19-P7-S1,,,,,,,,
A19-P7-S2,,,,,,,,
A19-P7-S3,,,,,,,,
A19-P7-S4,,,,,,,,
A19-P7-S5,,,,,,,,
A19-P8,,,,,,,,
A19-P8-S0,,,,,,,,
A19-P8-S1,,,,,,,,
A19-P8-S2,,,,,,,,
A19-P8-S3,,,,,,,,
A19-P8-S4,,,,,,,,
A19-P8-S5,,,,,,,,
A19-P9,,,,,,,,
A19-P9-S0,,,,,,,,
A19-P9-S1,,,,,,,,
A19-P9-S2,,,,,,,,
A19-P9-S3,,,,,,,,
A19-P9-S4,,,,,,,,
A19-P10,,,,,,,,
A19-P10-S0,,,,,,,,
A19-P11,,,,,,,,
A19-P11-S0,,,,,,,,
A19-P11-S1,,,,,,,,
A19-P11-S2,,,,,,,,
A19-P11-S3,,,,,,,,
A19-P11-S4,,,,,,,,
A19-P11-S5,,,,,,,,
A19-P11-S6,,,,,,,,
A19-P11-S7,,,,,,,,
A19-P12,,,,,,,,
A19-P12-S0,,,,,,,,
A19-P12-S1,,,,,,,,
A19-P12-S2,,,,,,,,
A19-P12-S3,,,,,,,,
A19-P12-S4,,,,,,,,
A19-P12-S5,,,,,,,,
A19-P13,,,,,,,,
A19-P13-S0,,,,,,,,
A19-P13-S1,,,,,,,,
A19-P13-S2,,,,,,,,
A19-P13-S3,,,,,,,,
